epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.563,1.18117,2.80463,1.52779,0.61946,0.15857,0.39147,0.27812,1.0115,2.83499,1.45886,0.000464992,0.000464992,0.000464992
2,227.564,1.26066,2.22494,1.52764,0.55176,0.548,0.50523,0.33386,1.27414,2.36545,1.69185,0.000922687,0.000922687,0.000922687
3,328.989,1.18345,2.02472,1.49717,0.51231,0.64957,0.63698,0.38802,1.28933,2.70636,1.78505,0.00136152,0.00136152,0.00136152
4,428.93,1.19635,1.91266,1.54406,0.46521,0.54589,0.64068,0.4258,1.22912,2.57449,1.71639,0.00134412,0.00134412,0.00134412
5,527.925,1.14433,1.81379,1.48097,0.55475,0.71429,0.71489,0.47002,1.30461,2.92439,1.71892,0.00131582,0.00131582,0.00131582
6,628.201,1.27667,1.97081,1.57436,0.672,0.5881,0.66532,0.44773,1.19512,1.88591,1.645,0.00128753,0.00128753,0.00128753
7,728.478,1.17744,1.74232,1.49965,0.73803,0.70798,0.70441,0.44694,1.30593,1.93699,1.75049,0.00125923,0.00125923,0.00125923
8,827.826,1.19432,1.68693,1.4733,0.58588,0.7469,0.7594,0.4666,1.3504,2.17997,1.8107,0.00123094,0.00123094,0.00123094
9,928.722,1.20916,1.60628,1.4643,0.74347,0.66946,0.73793,0.47545,1.27635,2.22929,1.66161,0.00120265,0.00120265,0.00120265
10,1028.99,1.14083,1.66982,1.43857,0.69125,0.77974,0.79391,0.50378,1.23652,1.84727,1.6456,0.00117435,0.00117435,0.00117435
11,1129.11,1.1187,1.51508,1.41712,0.70712,0.85276,0.84437,0.53899,1.19159,1.76632,1.66612,0.00114606,0.00114606,0.00114606
12,1228.49,1.10309,1.50733,1.40114,0.78692,0.79119,0.86544,0.57839,1.22632,1.66968,1.59437,0.00111776,0.00111776,0.00111776
13,1325.98,1.08142,1.58592,1.40908,0.8321,0.66747,0.80891,0.52058,1.18271,1.67287,1.54861,0.00108947,0.00108947,0.00108947
14,1424.1,1.06576,1.43937,1.39128,0.83819,0.74421,0.86495,0.57415,1.12067,1.48353,1.46982,0.00106118,0.00106118,0.00106118
15,1522.68,1.06319,1.33915,1.34732,0.84561,0.76899,0.85103,0.56664,1.14364,1.51465,1.50254,0.00103288,0.00103288,0.00103288
16,1621.54,1.05334,1.34914,1.37521,0.72636,0.78962,0.82996,0.56973,1.12328,1.53755,1.50383,0.00100459,0.00100459,0.00100459
17,1720.1,1.02229,1.2792,1.3258,0.89636,0.74119,0.88786,0.60255,1.09602,1.40993,1.49236,0.000976293,0.000976293,0.000976293
18,1819.76,1.02069,1.31142,1.31777,0.85674,0.86679,0.91389,0.62634,1.11058,1.22855,1.4829,0.000947999,0.000947999,0.000947999
19,1922.51,1.04177,1.27356,1.35377,0.8977,0.81657,0.89833,0.62051,1.07531,1.29916,1.4851,0.000919704,0.000919704,0.000919704
20,2029.17,1.01296,1.37261,1.34485,0.82675,0.86369,0.88801,0.61465,1.0936,1.27564,1.48386,0.00089141,0.00089141,0.00089141
21,2133.69,0.96302,1.19273,1.29508,0.82142,0.786,0.89821,0.63144,1.07733,1.25419,1.50306,0.000863116,0.000863116,0.000863116
